epoch,train_ppl,valid_ppl
1,149.3721,77.1988
2,90.3404,63.7645
3,82.1562,59.9706
4,78.6429,57.3890
5,76.7119,56.0599
6,75.5051,54.9163
7,74.7096,54.2733
8,74.1788,53.5704
9,73.5945,53.1378
10,73.2153,52.8156
11,73.0442,52.6826
12,72.8161,52.5177
13,72.5624,52.2367
14,72.4813,52.2437
15,66.1207,49.0452
16,63.4224,48.2390
17,62.2424,47.7287
18,61.2857,47.3701
19,60.6750,47.0339
20,60.2169,46.7942
21,59.7255,46.4671
22,59.3903,46.2384
23,59.0396,46.0885
24,58.6547,45.8049
25,58.4407,45.5659
26,58.1441,45.4937
27,57.9244,45.2952
28,57.6319,45.0612
29,57.4068,44.9706
30,57.2685,44.9097
31,57.1098,44.7006
32,56.8493,44.6503
33,56.8191,44.4219
34,56.6378,44.3481
35,56.5413,44.2519
36,56.3663,44.2003
37,56.2102,44.0222
38,56.0428,43.9043
39,55.9441,43.7872
40,55.8408,43.7432
