
Training Perplexity Table
Epoch,log_dp0.0,log_dp0.1,log_dp0.2,log_dp0.3,log_dp0.5,log_dp0.7
1,100.26,107.30,114.92,122.96,149.37,200.18
2,47.11,52.72,58.89,66.54,90.34,139.85
3,39.41,45.35,51.50,59.07,82.16,131.48
4,36.06,42.24,48.44,55.99,78.64,127.74
5,34.15,40.56,46.84,54.34,76.71,125.08
6,32.88,39.44,45.85,53.34,75.51,123.89
7,31.91,38.79,45.12,52.66,74.71,122.74
8,31.24,38.24,44.65,52.19,74.18,110.23
9,25.56,37.82,44.26,51.80,73.59,104.89
10,23.26,37.52,44.03,51.51,73.22,102.37
11,22.04,37.25,43.74,51.33,73.04,100.62
12,20.28,36.96,43.56,51.09,72.82,99.19
13,19.73,32.48,43.38,50.95,72.56,98.10
14,19.21,30.85,43.17,50.95,72.48,97.11
15,19.06,30.12,43.07,46.28,66.12,96.12
16,18.96,29.61,38.77,44.34,63.42,95.47
17,18.81,29.20,37.17,43.53,62.24,94.70
18,18.78,28.88,36.43,42.94,61.29,93.98
19,18.75,28.62,35.87,42.52,60.67,93.40
20,18.73,28.39,35.54,42.08,60.22,92.79
21,18.68,28.18,35.20,41.78,59.73,92.21
22,18.68,27.98,34.94,41.52,59.39,91.70
23,18.67,27.80,34.69,41.23,59.04,91.21
24,18.67,27.64,34.49,41.04,58.65,90.84
25,18.66,27.49,34.30,40.84,58.44,90.41
26,18.65,27.32,34.14,40.68,58.14,90.01
27,18.65,27.21,33.97,40.51,57.92,89.56
28,18.64,27.09,33.85,40.33,57.63,89.25
29,18.64,26.96,33.67,40.17,57.41,88.80
30,18.63,26.87,33.55,40.04,57.27,88.60
31,18.63,26.75,33.45,39.88,57.11,88.16
32,18.63,26.66,33.31,39.78,56.85,87.77
33,18.63,26.56,33.23,39.68,56.82,87.64
34,18.63,25.70,33.13,39.54,56.64,87.22
35,18.63,25.42,33.02,39.45,56.54,87.04
36,18.63,25.31,32.95,39.31,56.37,86.82
37,18.62,25.23,32.85,39.25,56.21,86.54
38,18.62,25.12,32.77,39.15,56.04,86.35
39,18.62,25.09,32.66,39.06,55.94,86.21
40,18.62,25.04,32.61,38.96,55.84,85.89



Validation Perplexity Table
Epoch,log_dp0.0,log_dp0.1,log_dp0.2,log_dp0.3,log_dp0.5,log_dp0.7
1,55.44,56.94,59.14,63.62,77.20,108.82
2,44.65,46.29,48.15,51.60,63.76,95.05
3,41.78,42.46,44.43,47.90,59.97,89.93
4,40.21,40.89,42.44,45.78,57.39,87.07
5,39.49,39.64,41.40,44.45,56.06,85.15
6,39.12,39.02,40.71,43.53,54.92,82.75
7,38.67,38.68,40.20,43.14,54.27,83.25
8,38.82,38.29,39.82,42.92,53.57,76.20
9,34.40,37.98,39.49,42.34,53.14,74.63
10,34.11,37.74,39.23,42.21,52.82,73.27
11,34.12,37.48,39.08,42.05,52.68,72.22
12,33.80,37.58,38.86,41.73,52.52,71.31
13,33.81,34.08,38.83,41.45,52.24,70.70
14,33.65,33.40,38.51,41.58,52.24,69.72
15,33.64,33.01,38.53,38.79,49.05,69.24
16,33.66,32.70,35.68,38.12,48.24,68.72
17,33.55,32.45,35.01,37.71,47.73,68.21
18,33.54,32.36,34.64,37.39,47.37,67.79
19,33.53,32.18,34.35,37.14,47.03,67.19
20,33.54,32.11,34.07,36.94,46.79,66.68
21,33.51,31.94,33.88,36.70,46.47,66.16
22,33.50,31.85,33.74,36.54,46.24,65.78
23,33.50,31.77,33.59,36.38,46.09,65.62
24,33.49,31.70,33.44,36.26,45.80,65.16
25,33.49,31.65,33.32,36.09,45.57,64.93
26,33.49,31.60,33.23,35.99,45.49,64.39
27,33.49,31.51,33.10,35.86,45.30,64.16
28,33.49,31.43,33.01,35.79,45.06,63.94
29,33.49,31.36,32.91,35.64,44.97,63.63
30,33.49,31.34,32.83,35.57,44.91,63.39
31,33.49,31.28,32.79,35.46,44.70,63.22
32,33.49,31.21,32.71,35.37,44.65,63.03
33,33.49,31.21,32.61,35.29,44.42,62.69
34,33.49,30.76,32.57,35.19,44.35,62.61
35,33.49,30.68,32.47,35.08,44.25,62.32
36,33.48,30.61,32.43,35.03,44.20,62.06
37,33.48,30.58,32.38,34.99,44.02,61.80
38,33.48,30.56,32.33,34.90,43.90,61.64
39,33.48,30.52,32.27,34.84,43.79,61.63
40,33.48,30.49,32.22,34.79,43.74,61.48


Wrote plot: plots/train_perplexity.png
Wrote plot: plots/valid_perplexity.png
