epoch,train_ppl,valid_ppl
1,149.9015,77.6742
2,90.4054,64.0228
3,82.1731,59.5687
4,78.7217,57.1754
5,76.9779,56.1414
6,75.6406,55.2051
7,74.8015,54.5999
8,74.1015,53.9297
9,73.7486,52.9229
10,73.4441,52.8016
11,73.4031,52.6330
12,72.9853,52.5440
13,72.6695,52.6095
14,66.4971,49.2167
15,63.7194,48.5508
16,62.4563,47.9378
17,61.5477,47.5705
18,60.8930,47.2459
19,60.4096,46.8307
20,59.9611,46.5603
21,59.5477,46.3349
22,59.1783,46.0686
23,58.9192,45.9451
24,58.5803,45.7394
25,58.3491,45.5047
26,58.0854,45.3767
27,57.9030,45.1576
28,57.6996,45.0275
29,57.4574,44.8888
30,57.2940,44.7553
31,57.1037,44.5744
32,56.9160,44.5052
33,56.7756,44.4312
34,56.5815,44.2154
35,56.4576,44.0894
36,56.3150,44.0309
37,56.1652,43.9170
38,56.0133,43.8127
39,55.8959,43.6819
40,55.7300,43.6656
